./data/datasets/tbp_SUN_lt_earth_to_mars.dat
TBP SUN CARTESIAN LT
CONSTANTS : MU [km^3.s^-2], LU [km], WU [s^-1], MASSU [kg]. TU [s], VU = LU * WU [km.s^-1], THRUSTU = 1000 * VU * MASSU * WU [N].
132712440041.9393
149597870.69999999
1.9909836747685179e-07
1000
SPACECRAFT PARAMETERS : INITIAL MASS [MASSU], DRY MASS [MASSU], THRUST [THRUSTU], ISP [TU].
0.10000000000000001
0.050000000000000003
0.0016863168901801234
0.00039819673495370355
4
State
101, 8
x [LU], y [LU], z [LU], vx [VU], vy [VU], vz [VU], mass [MASSU], dt [TU], 
-0.94051935593492386, -0.34502114073205192, 6.5508953798230768e-06, 0.32817515972135403, -0.94270842740721961, 1.4563605439061728e-05, 0.10000000000000001, 0.13761679159999995, 
-0.88660566212435321, -0.47097085205136807, -2.6837959341592362e-05, 0.45400027486674283, -0.88492574455242123, -0.00049935166598326776, 0.09964779469632723, 0.13761679159999995, 
-0.8159823348750086, -0.58784263647424218, -0.00013600615278714964, 0.57067945855475444, -0.81100305153384455, -0.0010850937542373005, 0.099295665489385704, 0.13761679159999995, 
-0.73003861575621432, -0.69351507916964694, -0.00032966193153845653, 0.67635048626586292, -0.7224202926632628, -0.0017253840253491626, 0.098943371948688338, 0.13761679159999995, 
-0.63040726685177384, -0.78608115287402225, -0.00061001795334761951, 0.76933516587243866, -0.6208085962244656, -0.0023431931757029118, 0.098591945996781449, 0.13761679159999995, 
-0.51893609082194969, -0.86387150459073592, -0.00097432106339000841, 0.84818503969853887, -0.50798846156794908, -0.0029435234143199052, 0.098240072111334592, 0.13761679159999995, 
-0.3976625790871311, -0.92547429115489044, -0.0014159475728009929, 0.91159111065525877, -0.38588123820925407, -0.0034651483929886728, 0.097887945124102468, 0.13761679159999995, 
-0.26879357660870684, -0.96974936204025675, -0.0019210416632418912, 0.95840238441468817, -0.25651478497971469, -0.0038643505213788541, 0.097535810091141831, 0.13761679159999995, 
-0.13468090416032891, -0.99584302514855705, -0.0024703691980490685, 0.98766651938469086, -0.12202491403131201, -0.004106812227570057, 0.097183516531602704, 0.13761679159999995, 
0.0022092224181553197, -1.0032056425893792, -0.0030414591742035407, 0.99867898586318649, 0.015306103128430422, -0.0041799109361501585, 0.096831261286913453, 0.13761679159999995, 
0.13933314312274714, -0.99161187954532459, -0.0036122368977901664, 0.99102576875608006, 0.15305024603372036, -0.0041020665381764103, 0.096478992518566509, 0.13761679159999995, 
0.27411084343671333, -0.96117527998030461, -0.0041601250002358406, 0.96459996605751486, 0.28871621966461442, -0.0038475725271698491, 0.096126698950780909, 0.13761679159999995, 
0.40397355433127224, -0.91236052496842135, -0.0046612222007741452, 0.91967873244177234, 0.41970071381734536, -0.0034229781888240542, 0.095774489032390886, 0.13761679159999995, 
0.5264210630120586, -0.84599639341080757, -0.0050921889025472801, 0.85698661029310286, 0.54332647543603052, -0.0028299140881973429, 0.095422330527833638, 0.13761679159999995, 
0.63907371544865033, -0.7632650413245633, -0.0054315903240581692, 0.77755379411510206, 0.65714895227381376, -0.0020944195815408751, 0.095070037033086668, 0.13761679159999995, 
0.7397324085736886, -0.6656883764403112, -0.0056602504923001151, 0.68297319256944244, 0.75869019936018001, -0.0012232173640903008, 0.094717814115070922, 0.13761679159999995, 
0.82644327407830387, -0.55510922690700837, -0.0057603273081966401, 0.57521118173288499, 0.84577963885050633, -0.00022892211385388476, 0.094365533367179705, 0.13761679159999995, 
0.89754973476798527, -0.43364769448727025, -0.0057158436508412723, 0.45661277004029865, 0.91657311062177271, 0.00087406265060839354, 0.094013700969303518, 0.13761679159999995, 
0.95169430992081971, -0.30362610195115308, -0.0055022751877432776, 0.32916366872786351, 0.96998936292059923, 0.0022243446915403329, 0.093661535199781792, 0.13761679159999995, 
0.98791592036703679, -0.16753461292847968, -0.0051124584519760237, 0.19662392273422041, 1.0046768498247836, 0.003431153404073556, 0.09330927190589422, 0.13761679159999995, 
1.005731544677084, -0.027998084234549855, -0.0045483387366115728, 0.062166349676427653, 1.0200339212044507, 0.0047535482266774275, 0.092956978340901428, 0.13761679159999995, 
1.0050560203668391, 0.11233987589173035, -0.003796771963663962, -0.071620602891419707, 1.0163914047649769, 0.0061513374518532777, 0.092604684764275247, 0.13761679159999995, 
0.9861325069278567, 0.25089638279032761, -0.0028385067199227904, -0.20257696185699323, 0.99429462337503871, 0.0077534869317850532, 0.092288657572463892, 0.13761679159999995, 
0.94963669683386087, 0.38520487640230283, -0.0016603970605373229, -0.32658942844123562, 0.95487821101937576, 0.0093425126775802426, 0.09193658743882438, 0.13761679159999995, 
0.89662964354535601, 0.51299033495803281, -0.00026835236563077579, -0.44218395301401253, 0.8997778367180036, 0.010859298564800848, 0.091584293953497736, 0.13761679159999995, 
0.8283302194668094, 0.63210841409229879, 0.0012258271362931316, -0.54855609347984402, 0.82923587995391379, 0.010825331080500759, 0.091564906590294926, 0.13761679159999995, 
0.74628424883947519, 0.74073752390224157, 0.0028294230731533967, -0.64175388041830483, 0.74768554971575873, 0.012450117398848262, 0.091213848252667998, 0.13761679159999995, 
0.65222410346369408, 0.83735530180920636, 0.0045514122187121702, -0.72301871170389742, 0.65502363645862216, 0.012544366103700379, 0.091095653842450316, 0.13761679159999995, 
0.54787275811046465, 0.92070015867975075, 0.0062380021788014002, -0.79123719405748782, 0.55512748435877357, 0.011937994488606567, 0.091090759965197471, 0.13761679159999995, 
